cod_prod_lj;cod_loja;cod_produto;ref_varejista;dia;dia_detalhado;semana;mes;decr_mes;trimestre;ano;periodo;periodo2;valor;quantidade;indicador3;indicador4;indicador5;indicador6;indicador7;indicador8;indicador9
;5101;80432400395;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;127.9;1;;;;;;;
;5101;82184004364;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;989.3;7;;;;;;;
;5101;82184090510;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;119.8;2;;;;;;;
;5101;5000196003774;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;229.9;1;;;;;;;
;5101;5000196006232;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;44.69;1;;;;;;;
;5101;5000265101042;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;351.2;8;;;;;;;
;5101;5000267013602;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;509.5;5;;;;;;;
;5101;5000267014005;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;609.3;7;;;;;;;
;5101;5000267024011;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;295.7;3;;;;;;;
;5101;5000267179810;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;1189.1;9;;;;;;;
;5101;5000267190556;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;89.9;1;;;;;;;
;5101;5000281004020;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;389.7;3;;;;;;;
;5101;5000289020701;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;84.9;1;;;;;;;
;5101;5000291020706;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;569.4;6;;;;;;;
;5101;5000299610015;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;87.99;1;;;;;;;
;5101;5000299628096;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;99.9;1;;;;;;;
;5101;5010106111451;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;654.0;10;;;;;;;
;5101;7312040017010;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;74.93;1;;;;;;;
;5101;7891050000460;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;97.8;2;;;;;;;
;5101;7891050000903;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;367.8;12;;;;;;;
;5101;7891050001238;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;670.9;11;;;;;;;
;5101;7891050003652;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;218.6;4;;;;;;;
;5101;7891125000104;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;79.8;2;;;;;;;
;5101;7891125181490;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;389.7;3;;;;;;;
;5101;7891136051003;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;1497.8;32;;;;;;;
;5101;7891149105564;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;211.3;40;;;;;;;
;5101;7891149840878;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;159.21;29;;;;;;;
;5101;7891991300841;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;85.31;19;;;;;;;
;5101;7891991301114;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;84.87;13;;;;;;;
;5101;7891991301138;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;99.95;15;;;;;;;
;5101;7893218000473;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;1562.3;47;;;;;;;
;5101;7893218002002;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;339.6;4;;;;;;;
;5101;7893218002576;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;725.65;28;;;;;;;
;5101;7893218003375;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;127.8;2;;;;;;;
;5101;7893218003603;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;1004.26;134;;;;;;;
;5101;7893218003757;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;64.79;3;;;;;;;
;5101;7896002100014;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;1622.97;124;;;;;;;
;5101;7896002110259;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;41.37;13;;;;;;;
;5101;7896002110419;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;746.7;130;;;;;;;
;5101;7896002110457;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;300.08;52;;;;;;;
;5101;7896002110471;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;207.04;36;;;;;;;
;5101;7896002110983;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;256.46;44;;;;;;;
;5101;7896002111034;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;229.9;40;;;;;;;
;5101;7896002111508;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;288.3;50;;;;;;;
;5101;7896023080487;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;56.7;3;;;;;;;
;5101;7896037916062;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;74.7;3;;;;;;;
;5101;7896037918738;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;69.89;2;;;;;;;
;5101;7896050200124;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;1654.93;115;;;;;;;
;5101;7896050200872;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;57.7;3;;;;;;;
;5101;7896051216001;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;14.9;1;;;;;;;
;5101;7896051236009;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;49.6;4;;;;;;;
;5101;7896072911244;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;80.7;3;;;;;;;
;5101;7896273100058;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;109.18;6;;;;;;;
;5101;7896299101077;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;151.2;8;;;;;;;
;5101;7896299109721;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;32.99;1;;;;;;;
;5101;7896547501154;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;26.24;6;;;;;;;
;5101;7896547501178;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;47.69;11;;;;;;;
;5101;7896547501444;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;44.9;10;;;;;;;
;5101;7896685200063;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;34.8;2;;;;;;;
;5101;7896685200629;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;291.35;21;;;;;;;
;5101;7896685200643;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;161.07;12;;;;;;;
;5101;7896685200797;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;656.27;49;;;;;;;
;5101;7896685200803;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;245.38;18;;;;;;;
;5101;7897110000432;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;47.87;4;;;;;;;
;5101;7897395001438;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;15.96;4;;;;;;;
;5101;7897736410547;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;88.4;6;;;;;;;
;5101;7897877000065;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;99.8;2;;;;;;;
;5101;7897877000256;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;54.9;1;;;;;;;
;5101;7898172660107;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;387.4;26;;;;;;;
;5101;7898172660190;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;254.4;16;;;;;;;
;5101;7898172660817;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;179.64;36;;;;;;;
;5101;7898221854310;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;78.8;2;;;;;;;
;5101;7898377661992;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;58.8;2;;;;;;;
;5101;7898576190019;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;133.0;13;;;;;;;
;5101;7898605253012;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;14.97;3;;;;;;;
;5101;7898605254170;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;59.37;13;;;;;;;
;5101;7898675310721;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;149.97;3;;;;;;;
;5101;7898929540911;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;28.86;4;;;;;;;
;5101;7898929541130;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;99.36;14;;;;;;;
;5101;7898942055836;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;331.61;109;;;;;;;
;5101;7898942055843;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;500.08;162;;;;;;;
;5101;7898942055850;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;592.49;191;;;;;;;
;5101;7896002111898;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;200.65;35;;;;;;;
;5101;7896037918745;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;77.98;2;;;;;;;
;5101;5900595004672;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;33.9;1;;;;;;;
;5101;7891991304252;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;319.93;67;;;;;;;
;5101;7896051215028;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;74.5;5;;;;;;;
;5101;7896072911480;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;17.9;1;;;;;;;
;5101;7896072922387;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;50.7;3;;;;;;;
;5101;7896356600161;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;315.5;10;;;;;;;
;5101;7896486100012;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;18.9;1;;;;;;;
;5101;7896051222163;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;47.7;3;;;;;;;
;5101;7896051225164;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;39.8;2;;;;;;;
;5101;7896072911251;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;56.7;3;;;;;;;
;5101;7896072911824;PM SUPER;2023-09-01;;;SET;09-SET;;2023;5 BIM;;39.8;2;;;;;;;
